$3 LITs	$2 Pabst taps?	$3.75 Jager bombs	
$2.50 Captain mixers	$2.75 Jack & Coke		
(no specials today)			
$6 pint of Guinness and shot of Bush Mills	$5 glass of wine	1/2 off top shelf Irish whiskeys ($7 above)	
$2.50 pitchers (4-9pm)	$3 Bacardi mixers	$3.25 domestic bottles	$3.75 vodka-Red Bulls
$3 Svedka mixers	$5 double Svedka mixers	$5 Shnorkels	buy-a-shot-get-a-beer
$3 Jack mixers, Cruzan, LITs and Svedka mixers	1/2 off wine bottles		
$3 rails			
$1.25 High Life and PBR taps	$3 Captain mixers		
$1 Wunder shots			
(no specials today)			
?			
(no specials today)			
(no specials today)			
$3 Three Olive mixers	$6 pitchers of High Life		
$6 Bud Light pitchers	$5 buckets of shorties and vodka-Monster drinks		
$5 jumbo Jack mixers			
$4 tall Jack mixers	$2 Bud Light bottles		
?			
$2.50 Bacardi mixers and Jameson shots	$3 Bud Light Lime bottles		
(no specials today)			
(no specials today)			
$3.50 Miller Lite bottles	$4 jumbo Smirnoff mixers		
(no specials today)			
?			
(no specials today)			
$2.50 rails	$2 PBR taps		
$2 vodka mixers			
Beer Stock Exchange	$2.50 Smirnoff bottles		
$4 double Bacardi mixers			
Bloody Mary Bar (9am-noon)			
$6 jumbo 42 Below mixers			
(no specials today)			
(no specials today)			
