$3.50 Bloody Marys	$2.50 Jack mixers	$2 screwdrivers	
(no specials today)			
25% off drinks			
$6 pint of Guinness and shot of Bush Mills	$5 glass of wine	1/2 off top shelf Irish whiskeys ($7 above)	
2 for 1 drinks			
Bloody Mary bar	$3.50 double screwdrivers	$2 mimosas	
(no specials today)			
$2.50 Heineken bottles?	$4 jumbo Skyy mixers		
(no specials today)			
$3.50 pints	$4.50 half liters		
(no specials today)			
?			
$3 jumbo LITs			
(closed)			
(closed)			
$2 vodka rails	$2.50 mimosas	$5 bucket of 6 domestic shorties	$5 bucket of 5 import shorties
(no specials today)			
$1 cans of beer	$2 rails	free darts	
?			
$2 mimosas	$2.50 rail juice mixers	$4 pitchers	
(closed)			
(no specials today)			
$2.75 bartender's choice			
(no specials today)			
?			
(no specials today)			
(no specials today)			
$3.50 Bloody Marys and screwdrivers	$2 Coors silos		
$4.25 jumbo Bloody Marys	Beer Stock Exchange		
(closed)			
Bloody Mary Bar (9am-noon)	$1 taps of PBR and High Life	$2.50 Landshark taps	
$2 taps	$2.50 Captain mixers	$4 Ketel One mixers	
$2 drinks			
Bloody Mary Bar	1/2 price drinks for bowlers (5-8pm)	$2 Miller Lite taps	
